Unnamed: 0,customer_id,date_registered,gender,birthdate,current_location,employer,job,age,salary,credit_card_provider
49,0926063fa7,4/11/2020,F,7/29/1996,General Region,Industry Category,Other,45-54,<30K,American Express
50,f70afe9a25,3/2/2021,F,11/11/2018,General Region,Industry Category,Other,35-44,50K-75K,VISA 16 digit
51,a529308afc,5/19/2020,F,1/30/2011,General Region,Industry Category,Other,35-44,100K-150K,American Express
52,0d589ca97d,12/13/2019,F,10/23/1995,General Region,Industry Category,Engineering,35-44,150K+,JCB 15 digit
53,f0e36502e6,6/29/2021,F,3/6/2021,General Region,Industry Category,Other,35-44,50K-75K,VISA 13 digit
54,69ced2d40d,7/28/2021,M,10/6/1930,General Region,Industry Category,Management,45-54,<30K,American Express
55,535811d61d,12/19/2019,M,12/8/1963,General Region,Industry Category,Other,35-44,75K-100K,Diners Club / Carte Blanche
56,a8af9f7916,9/5/2019,F,6/3/2018,General Region,Industry Category,Science & Research,35-44,75K-100K,JCB 16 digit
57,734f1a8734,5/15/2021,F,2/18/1967,General Region,Industry Category,Management,35-44,150K+,Diners Club / Carte Blanche
58,e75409e074,9/10/2020,F,9/15/1989,General Region,Industry Category,Other,55-64,150K+,Discover
59,7d7744b14e,8/12/2021,F,8/28/1907,General Region,Industry Category,Other,35-44,150K+,VISA 13 digit
60,402508a49f,10/6/2021,M,6/8/1953,General Region,Industry Category,Other,55-64,75K-100K,Mastercard
61,1f674fe381,1/21/2022,M,7/1/1941,General Region,Industry Category,Other,55-64,150K+,Maestro
62,7c227c7398,1/28/2021,M,12/23/1919,General Region,Industry Category,Other,25-34,100K-150K,Discover
63,77de96cf6e,9/27/2019,M,1/19/1926,General Region,Industry Category,Other,35-44,150K+,Mastercard
64,d766036aad,4/9/2022,M,1/17/1970,General Region,Industry Category,Technology,18-24,100K-150K,Diners Club / Carte Blanche
65,b118819e90,6/16/2022,F,5/6/1925,General Region,Industry Category,Engineering,55-64,75K-100K,American Express
66,2482227876,1/11/2022,F,6/22/2010,General Region,Industry Category,Engineering,18-24,150K+,VISA 19 digit
67,1ed7371ea0,9/16/2020,M,8/26/1922,General Region,Industry Category,Engineering,18-24,50K-75K,Mastercard
68,14b8e87a6c,10/29/2021,M,2/1/1925,General Region,Industry Category,Other,35-44,150K+,VISA 13 digit
69,3f3699ade6,2/4/2021,M,5/21/1916,General Region,Industry Category,Science & Research,25-34,150K+,Discover
70,f07a911cd0,7/18/2021,F,8/5/2020,General Region,Industry Category,Other,45-54,30K-50K,Diners Club / Carte Blanche
71,16aafe0df1,2/27/2020,M,2/25/1907,General Region,Industry Category,Other,25-34,50K-75K,American Express
72,53bb73f75c,11/13/2019,M,2/3/1995,General Region,Industry Category,Other,25-34,150K+,JCB 16 digit
73,b26fe4383b,7/17/2019,M,4/14/2011,General Region,Industry Category,Management,55-64,150K+,Diners Club / Carte Blanche
74,0e393705e5,2/1/2020,M,8/26/1924,General Region,Industry Category,Other,25-34,150K+,Mastercard
75,3f4e862a5a,4/28/2020,M,11/20/1927,General Region,Industry Category,Other,35-44,30K-50K,Discover
76,d02817c597,5/16/2021,F,11/3/1925,General Region,Industry Category,Other,25-34,75K-100K,JCB 16 digit
77,2d9efc81bb,8/2/2019,F,2/20/2011,General Region,Industry Category,Other,25-34,150K+,JCB 16 digit
78,f2e7bed39f,6/14/2020,M,12/26/1921,General Region,Industry Category,Other,45-54,150K+,JCB 16 digit
79,d1430d4f38,7/14/2021,M,1/15/1922,General Region,Industry Category,Other,18-24,100K-150K,VISA 16 digit
80,261fa78c3a,10/26/2020,F,10/8/1906,General Region,Industry Category,Other,45-54,150K+,JCB 15 digit
81,71ad18d7b5,7/6/2019,M,9/3/1911,General Region,Industry Category,Management,45-54,100K-150K,Discover
82,bcc7fb0cdc,6/7/2020,M,2/6/1923,General Region,Industry Category,Other,55-64,100K-150K,American Express
83,5f9f58a504,10/24/2020,F,5/19/1915,General Region,Industry Category,Other,18-24,150K+,VISA 13 digit
84,57830683fe,1/17/2022,M,1/3/1961,General Region,Industry Category,Other,35-44,150K+,Discover
85,c3343686b9,12/13/2021,M,7/21/1927,General Region,Industry Category,Other,45-54,100K-150K,JCB 16 digit
86,de395570f5,5/26/2022,M,10/25/1935,General Region,Industry Category,Other,35-44,150K+,VISA 16 digit
87,32a4380a26,4/8/2021,F,7/31/1998,General Region,Industry Category,Other,55-64,50K-75K,American Express
88,f6d3befeae,4/26/2022,M,11/11/1932,General Region,Industry Category,Engineering,45-54,30K-50K,Maestro
89,08bf0bb496,7/24/2021,M,7/23/1968,General Region,Industry Category,Other,35-44,100K-150K,VISA 16 digit
90,e12727a6f9,9/15/2019,F,1/12/1997,General Region,Industry Category,Management,45-54,150K+,VISA 16 digit
91,541e4d6f00,6/11/2021,M,5/1/1984,General Region,Industry Category,Other,25-34,30K-50K,Mastercard
92,c53910601c,1/25/2020,M,7/31/1989,General Region,Industry Category,Engineering,55-64,75K-100K,VISA 16 digit
93,542984ba91,7/7/2019,M,11/15/1962,General Region,Industry Category,Science & Research,55-64,150K+,VISA 16 digit
94,e75aa088a9,10/27/2019,F,9/10/1966,General Region,Industry Category,Other,35-44,30K-50K,Maestro
95,9b97dacefe,7/30/2019,M,3/1/1983,General Region,Industry Category,Engineering,55-64,100K-150K,VISA 16 digit
96,7aa67720b2,11/1/2019,M,6/24/1954,General Region,Industry Category,Engineering,35-44,150K+,Diners Club / Carte Blanche
97,5441c11a03,6/10/2020,F,3/1/1977,General Region,Industry Category,Management,18-24,100K-150K,JCB 15 digit
98,446d71c72e,3/7/2021,F,6/24/1955,General Region,Industry Category,Engineering,25-34,150K+,JCB 15 digit
99,25ba0b156a,11/26/2019,M,10/10/1916,General Region,Industry Category,Other,18-24,150K+,JCB 16 digit
100,709bb507f3,5/23/2021,M,9/8/1907,General Region,Industry Category,Healthcare & Counseling,55-64,150K+,VISA 13 digit
101,e39b435242,8/17/2021,M,12/6/1993,General Region,Industry Category,Engineering,45-54,75K-100K,Discover
102,bfe838aef5,4/1/2022,M,6/19/1977,General Region,Industry Category,Other,55-64,50K-75K,VISA 16 digit
103,68545403af,7/3/2019,M,10/25/1927,General Region,Industry Category,Management,35-44,100K-150K,VISA 16 digit
104,116063b46a,5/25/2021,F,11/10/2011,General Region,Industry Category,Other,18-24,150K+,Discover
105,f69691f6b6,11/19/2021,M,3/3/1935,General Region,Industry Category,Management,35-44,100K-150K,VISA 16 digit
106,688b37f82e,2/10/2020,M,4/20/1951,General Region,Industry Category,Other,45-54,30K-50K,Discover
107,f1c002ea9b,7/12/2021,M,9/27/1992,General Region,Industry Category,Other,45-54,100K-150K,Discover
108,e2d523b53a,7/7/2020,M,8/28/1970,General Region,Industry Category,Other,18-24,75K-100K,JCB 16 digit
109,a914aa0816,9/29/2021,M,7/25/1962,General Region,Industry Category,Management,45-54,100K-150K,JCB 16 digit
110,97dfdb1c32,9/25/2021,F,1/18/1972,General Region,Industry Category,Other,35-44,75K-100K,Discover
111,d265786256,3/29/2021,F,10/26/2006,General Region,Industry Category,Other,35-44,150K+,VISA 16 digit
112,02eb713a1b,10/10/2021,F,2/9/2000,General Region,Industry Category,Other,25-34,50K-75K,Maestro
113,39653594b6,4/4/2022,F,5/6/1994,General Region,Industry Category,Management,55-64,150K+,VISA 19 digit
114,e7ee71352f,8/12/2021,M,3/7/2007,General Region,Industry Category,Science & Research,35-44,150K+,JCB 15 digit
115,971b9730bb,7/26/2020,M,11/13/1909,General Region,Industry Category,Other,45-54,100K-150K,Diners Club / Carte Blanche
116,2106fca85b,10/28/2020,F,5/28/1950,General Region,Industry Category,Other,35-44,100K-150K,Diners Club / Carte Blanche
117,d89e7d4a3e,9/23/2020,F,1/21/1917,General Region,Industry Category,Other,55-64,150K+,VISA 16 digit
118,2b09072a50,3/2/2020,M,4/10/1970,General Region,Industry Category,Other,25-34,100K-150K,Maestro
119,a473b04f04,6/19/2022,F,2/2/1934,General Region,Industry Category,Engineering,18-24,150K+,American Express
120,8ba5631948,4/10/2021,M,6/30/1914,General Region,Industry Category,Technology,35-44,50K-75K,American Express
121,a095912f32,12/17/2019,F,4/4/1913,General Region,Industry Category,Other,25-34,<30K,JCB 16 digit
122,d98211647b,9/7/2021,F,4/27/1916,General Region,Industry Category,Engineering,55-64,75K-100K,JCB 15 digit
123,bf5a3101c4,4/26/2022,M,7/24/1987,General Region,Industry Category,Other,35-44,75K-100K,JCB 15 digit
124,b59863ca12,11/21/2021,F,6/5/1944,General Region,Industry Category,Other,55-64,50K-75K,JCB 16 digit
125,b98830913b,7/26/2019,M,10/13/1938,General Region,Industry Category,Science & Research,25-34,50K-75K,VISA 13 digit
126,1e2970240a,12/13/2021,M,3/26/1946,General Region,Industry Category,Other,45-54,30K-50K,Mastercard
127,0e9101c4bd,6/6/2021,F,8/19/1924,General Region,Industry Category,Engineering,18-24,150K+,Maestro
128,88c6c59a7a,12/26/2020,F,6/14/1962,General Region,Industry Category,Other,25-34,150K+,Mastercard
129,971357989b,4/11/2020,M,11/13/1917,General Region,Industry Category,Engineering,55-64,100K-150K,VISA 16 digit
130,fcf6fd9a69,8/21/2021,M,2/24/1953,General Region,Industry Category,Management,25-34,150K+,VISA 19 digit
131,f07936ef91,2/2/2022,M,11/12/1967,General Region,Industry Category,Other,45-54,150K+,VISA 13 digit
132,e66119aba7,3/3/2022,F,10/12/1994,General Region,Industry Category,Other,45-54,150K+,JCB 16 digit
133,9e40357416,1/21/2021,M,12/18/2018,General Region,Industry Category,Other,25-34,150K+,VISA 13 digit
134,e364a4b60c,8/22/2021,M,7/6/1983,General Region,Industry Category,Other,35-44,150K+,Mastercard
135,ca4405f338,1/13/2020,F,3/21/2011,General Region,Industry Category,Other,35-44,150K+,JCB 15 digit
136,945592cb26,4/22/2021,F,10/18/1933,General Region,Industry Category,Management,25-34,150K+,JCB 16 digit
137,7f80e08aac,12/7/2020,M,11/23/1935,General Region,Industry Category,Other,35-44,100K-150K,VISA 16 digit
138,ccd5fb60a1,8/18/2021,M,6/24/1973,General Region,Industry Category,Other,65+,100K-150K,VISA 16 digit
139,0dc57f4ed3,1/22/2020,M,11/15/1928,General Region,Industry Category,Other,25-34,150K+,American Express
140,ced3b2feff,1/18/2022,M,4/12/1963,General Region,Industry Category,Engineering,35-44,<30K,JCB 16 digit
141,f308292943,10/29/2021,M,6/25/1936,General Region,Industry Category,Other,18-24,150K+,VISA 19 digit
142,e49238996d,7/1/2021,M,10/2/2019,General Region,Industry Category,Other,35-44,150K+,American Express
143,6713b8d204,9/18/2021,F,7/21/1972,General Region,Industry Category,Other,45-54,100K-150K,Maestro
144,2e96fcba42,11/2/2019,F,5/8/1990,General Region,Industry Category,Other,35-44,100K-150K,JCB 16 digit
145,d1cdb2a958,3/25/2021,M,5/1/1996,General Region,Industry Category,Other,25-34,150K+,JCB 16 digit
146,c45fddd9f8,3/8/2020,F,6/14/1952,General Region,Industry Category,Management,25-34,100K-150K,VISA 16 digit
147,c0c77d07f6,5/16/2022,F,10/26/1997,General Region,Industry Category,Technology,55-64,50K-75K,JCB 16 digit
148,689f698abf,6/9/2020,M,6/26/1947,General Region,Industry Category,Other,45-54,100K-150K,American Express
149,b7fe779ae3,11/17/2020,F,12/30/1940,General Region,Industry Category,Management,35-44,75K-100K,JCB 16 digit
150,9f37997284,8/14/2020,M,10/30/1921,General Region,Industry Category,Other,55-64,150K+,Diners Club / Carte Blanche
151,df7d67430c,11/3/2021,F,9/2/1926,General Region,Industry Category,Other,18-24,<30K,JCB 16 digit
152,ba9d0d47fd,8/14/2021,M,5/1/2018,General Region,Industry Category,Other,25-34,30K-50K,Diners Club / Carte Blanche
153,f27722a19b,10/16/2021,M,7/30/1927,General Region,Industry Category,Other,45-54,50K-75K,Diners Club / Carte Blanche
154,bb3293e44f,11/27/2019,M,9/15/2010,General Region,Industry Category,Other,35-44,100K-150K,VISA 16 digit
155,f9b10f0a31,9/11/2020,F,7/7/1906,General Region,Industry Category,Other,35-44,150K+,Mastercard
156,093ce3598b,3/2/2022,F,5/1/1990,General Region,Industry Category,Science & Research,45-54,50K-75K,American Express
157,6644f06182,10/11/2021,M,5/29/1978,General Region,Industry Category,Engineering,45-54,50K-75K,Mastercard
158,f147a1cdec,12/1/2021,M,1/12/2018,General Region,Industry Category,Management,55-64,150K+,Maestro
159,6e50b83022,10/19/2021,F,4/2/2003,General Region,Industry Category,Other,18-24,150K+,JCB 15 digit
160,15bcaff263,5/25/2020,F,2/8/1981,General Region,Industry Category,Management,18-24,150K+,Mastercard
161,0ad771790d,1/23/2021,F,12/25/1924,General Region,Industry Category,Other,45-54,<30K,Mastercard
162,fe05eb1c02,9/23/2020,F,8/14/1918,General Region,Industry Category,Other,35-44,50K-75K,JCB 16 digit
163,c9be69a52a,8/28/2020,M,12/3/1966,General Region,Industry Category,Science & Research,25-34,150K+,JCB 15 digit
164,3d0a4eb8f3,12/31/2019,M,3/16/2009,General Region,Industry Category,Other,35-44,50K-75K,VISA 13 digit
165,54733ca331,9/21/2019,F,1/9/2016,General Region,Industry Category,Other,25-34,50K-75K,Diners Club / Carte Blanche
166,0e7ec54f93,2/2/2022,F,3/8/1987,General Region,Industry Category,Engineering,35-44,150K+,VISA 19 digit
167,176ca9b03d,9/7/2020,M,11/27/2005,General Region,Industry Category,Other,55-64,150K+,JCB 15 digit
168,f16395e618,7/3/2020,M,3/28/1987,General Region,Industry Category,Management,25-34,150K+,VISA 13 digit
169,9b68a456b0,12/24/2021,F,4/1/1914,General Region,Industry Category,Other,45-54,100K-150K,Mastercard
170,502b015d6f,8/18/2021,M,8/12/1942,General Region,Industry Category,Other,45-54,100K-150K,VISA 16 digit
171,dcf8ae1220,5/21/2021,M,8/20/1934,General Region,Industry Category,Other,18-24,100K-150K,VISA 19 digit
172,6b7160fcf7,5/23/2020,F,3/5/1984,General Region,Industry Category,Management,55-64,50K-75K,JCB 16 digit
173,c631d11e97,11/17/2021,F,12/1/1939,General Region,Industry Category,Other,35-44,150K+,JCB 15 digit
174,2366d431bc,10/24/2021,F,7/29/2020,General Region,Industry Category,Other,18-24,100K-150K,VISA 16 digit
175,789b85bd3f,3/9/2022,M,10/28/1985,General Region,Industry Category,Engineering,25-34,150K+,VISA 13 digit
176,dddd4835d6,3/12/2020,M,12/27/1956,General Region,Industry Category,Engineering,18-24,150K+,VISA 19 digit
177,5c65fd7ca6,2/25/2021,F,4/6/1910,General Region,Industry Category,Technology,35-44,<30K,VISA 19 digit
178,36227f0937,10/19/2021,F,10/31/1914,General Region,Industry Category,Other,55-64,100K-150K,VISA 16 digit
179,17cb4765fd,6/6/2022,F,5/16/2012,General Region,Industry Category,Other,18-24,150K+,VISA 16 digit
180,236d73e45e,1/3/2021,M,8/13/1934,General Region,Industry Category,Management,25-34,150K+,JCB 16 digit
181,1644d4302e,4/8/2022,M,9/13/1907,General Region,Industry Category,Other,35-44,30K-50K,VISA 13 digit
182,e7e6590310,3/23/2020,M,1/9/1980,General Region,Industry Category,Science & Research,45-54,150K+,VISA 19 digit
183,6064f2c63e,10/16/2021,M,1/30/1998,General Region,Industry Category,Other,45-54,30K-50K,VISA 16 digit
184,eb24d73204,8/26/2021,M,12/16/1934,General Region,Industry Category,Other,25-34,75K-100K,JCB 16 digit
185,9109b45771,6/10/2021,F,1/30/1929,General Region,Industry Category,Other,35-44,75K-100K,VISA 16 digit
186,5010645693,12/26/2019,F,9/20/1949,General Region,Industry Category,Other,18-24,50K-75K,Maestro
187,30f4a4276a,10/22/2021,F,2/3/1986,General Region,Industry Category,Management,65+,75K-100K,Maestro
188,d34ee0ca6f,12/29/2019,M,5/18/1915,General Region,Industry Category,Management,45-54,150K+,Maestro
189,27c83dcbce,4/11/2022,M,6/12/1962,General Region,Industry Category,Other,45-54,150K+,JCB 16 digit
190,d2ef584e4e,3/2/2021,M,8/16/1906,General Region,Industry Category,Engineering,45-54,50K-75K,JCB 16 digit
191,545d06e568,5/1/2022,M,2/16/1939,General Region,Industry Category,Management,18-24,150K+,JCB 16 digit
192,5126d63af1,10/21/2021,M,9/17/1929,General Region,Industry Category,Management,45-54,100K-150K,JCB 15 digit
193,ac41ab1acd,2/22/2022,F,9/22/1943,General Region,Industry Category,Other,45-54,75K-100K,VISA 13 digit
194,6a38c01aaa,11/26/2020,F,1/25/1916,General Region,Industry Category,Other,25-34,150K+,Diners Club / Carte Blanche
195,33bd227dcc,10/15/2020,M,9/11/2002,General Region,Industry Category,Other,45-54,30K-50K,JCB 15 digit
196,6a5dde7262,2/22/2020,M,3/21/1907,General Region,Industry Category,Other,35-44,150K+,VISA 13 digit
197,678e61a89f,2/23/2021,M,11/9/2020,General Region,Industry Category,Science & Research,55-64,150K+,VISA 16 digit
198,d7446100b1,4/12/2021,M,4/26/2007,General Region,Industry Category,Other,35-44,100K-150K,Discover
199,ffadae8ed3,5/24/2021,M,4/17/1951,General Region,Industry Category,Other,25-34,150K+,VISA 19 digit
200,5e5db1ee50,8/15/2021,M,3/29/1947,General Region,Industry Category,Other,25-34,100K-150K,JCB 15 digit
201,40c019db55,3/2/2020,F,9/1/1956,General Region,Industry Category,Other,25-34,30K-50K,VISA 19 digit
202,42b3a0db3e,5/2/2022,M,5/18/1973,General Region,Industry Category,Other,45-54,100K-150K,Mastercard
203,2cff2a30a8,2/19/2022,M,11/30/1942,General Region,Industry Category,Other,55-64,50K-75K,Maestro
204,14fc95b4e3,10/17/2021,F,1/3/2006,General Region,Industry Category,Other,25-34,150K+,JCB 16 digit
205,f7a2aec046,4/28/2020,M,8/26/1988,General Region,Industry Category,Management,45-54,100K-150K,VISA 13 digit
206,3f218f0603,12/26/2020,F,2/14/1948,General Region,Industry Category,Engineering,55-64,30K-50K,JCB 16 digit
207,c092cfdf0f,8/14/2021,F,9/14/1963,General Region,Industry Category,Management,18-24,30K-50K,VISA 13 digit
208,e9fe27d6a7,9/3/2020,F,5/17/2009,General Region,Industry Category,Other,25-34,50K-75K,VISA 19 digit
209,4f5ea57904,7/14/2020,M,4/27/1949,General Region,Industry Category,Science & Research,55-64,150K+,Diners Club / Carte Blanche
210,6e7983be49,10/23/2020,M,9/11/1937,General Region,Industry Category,Management,18-24,30K-50K,VISA 13 digit
211,b01048e769,2/8/2021,F,10/4/1906,General Region,Industry Category,Technology,45-54,100K-150K,VISA 19 digit
212,60bd55d4ce,8/27/2019,F,4/23/1954,General Region,Industry Category,Healthcare & Counseling,45-54,150K+,Maestro
213,fbcbcd047d,7/22/2021,F,3/22/1925,General Region,Industry Category,Science & Research,35-44,50K-75K,VISA 19 digit
214,b48b21bb1e,12/28/2020,F,4/10/2003,General Region,Industry Category,Other,45-54,75K-100K,VISA 19 digit
215,10a7e50b49,6/14/2020,M,3/7/1981,General Region,Industry Category,Other,55-64,150K+,VISA 19 digit
216,1673170282,8/19/2020,M,11/1/1985,General Region,Industry Category,Other,35-44,30K-50K,Discover
217,7ad57aff5c,12/7/2019,F,7/7/1978,General Region,Industry Category,Other,45-54,50K-75K,Maestro
218,adf01372ac,5/19/2022,F,9/29/1989,General Region,Industry Category,Other,45-54,75K-100K,VISA 19 digit
219,445d60f55d,4/25/2022,F,8/15/1975,General Region,Industry Category,Management,45-54,<30K,Mastercard
220,3c2a1aada5,8/30/2019,F,11/22/1988,General Region,Industry Category,Other,18-24,100K-150K,VISA 16 digit
221,c90ed767e7,6/15/2020,M,10/13/1933,General Region,Industry Category,Engineering,45-54,100K-150K,VISA 16 digit
222,ade4c6fd3b,10/29/2021,M,4/8/2020,General Region,Industry Category,Healthcare & Counseling,45-54,50K-75K,Maestro
223,74053d0ea3,3/26/2020,M,8/2/1984,General Region,Industry Category,Other,35-44,150K+,Mastercard
224,6d29ec48ef,8/10/2020,F,8/10/1989,General Region,Industry Category,Other,45-54,150K+,Mastercard
225,44b6617304,11/28/2021,F,9/7/2014,General Region,Industry Category,Other,55-64,100K-150K,American Express
226,1afb08a3a9,2/6/2020,M,11/1/1912,General Region,Industry Category,Healthcare & Counseling,25-34,100K-150K,VISA 16 digit
227,fa6ea9d898,12/4/2019,M,12/3/2001,General Region,Industry Category,Management,45-54,150K+,VISA 16 digit
228,0ca2b1e9d9,10/7/2019,M,5/27/1976,General Region,Industry Category,Management,35-44,150K+,VISA 19 digit
229,1d7672d05c,10/13/2021,F,12/17/1928,General Region,Industry Category,Other,35-44,75K-100K,JCB 16 digit
230,24ceb73da4,12/31/2019,F,9/9/2003,General Region,Industry Category,Other,35-44,50K-75K,Discover
231,1fc202c330,11/24/2020,F,9/24/1959,General Region,Industry Category,Other,35-44,100K-150K,JCB 16 digit
232,f7ad297107,2/20/2022,M,10/26/1997,General Region,Industry Category,Other,18-24,50K-75K,JCB 16 digit
233,0d8c9c5a44,12/6/2021,F,7/15/1920,General Region,Industry Category,Other,45-54,100K-150K,Discover
234,3c9718952d,1/31/2022,F,9/28/1983,General Region,Industry Category,Other,25-34,150K+,VISA 19 digit
235,e39eee2d5f,1/17/2022,F,8/27/1988,General Region,Industry Category,Other,35-44,50K-75K,Discover
236,a9bb28c2c9,1/27/2020,M,11/24/1950,General Region,Industry Category,Other,55-64,30K-50K,Maestro
237,3feedb84b6,3/25/2020,M,5/29/1945,General Region,Industry Category,Management,65+,75K-100K,VISA 13 digit
238,1ad8e4e928,9/29/2019,F,1/4/1996,General Region,Industry Category,Other,35-44,30K-50K,American Express
239,151bb39ef0,4/22/2020,F,2/6/1978,General Region,Industry Category,Management,55-64,150K+,VISA 16 digit
240,3d445ec2f7,4/1/2020,F,9/4/1924,General Region,Industry Category,Other,35-44,150K+,JCB 16 digit
241,66d41bdc0e,6/15/2022,M,3/28/1943,General Region,Industry Category,Other,25-34,150K+,JCB 16 digit
242,f64620b8d0,3/26/2020,F,7/5/1978,General Region,Industry Category,Other,18-24,150K+,VISA 19 digit
243,17259d7f9d,10/25/2019,M,8/8/1963,General Region,Industry Category,Other,55-64,30K-50K,VISA 16 digit
244,c99a483945,9/20/2019,M,6/17/1997,General Region,Industry Category,Other,45-54,100K-150K,VISA 16 digit
245,54cd7ea34c,12/17/2020,F,11/14/1954,General Region,Industry Category,Other,25-34,75K-100K,VISA 16 digit
